Experiment start. 
0,2.13959,
4H22,2.13959,
4H22,2.13959,
4GJI,2.13959,
4H22,2.13959,
4H22,2.13959,
37,2.13959,
52,2.13959,
6G,2.13959,
8B,2.13959,
A6,2.13959,
C8,2.13959,
EA,2.13959,
GB,2.13959,
ID,2.13959,
10F,2.13959,
12H,2.13959,
150,2.13959,
172,2.13959,
195,2.13959,
1B8,2.13959,
1DA,2.13959,
1FD,2.13959,
1HG,2.13959,
1JI,2.13959,
23E,2.13959,
25H,2.13959,
280,2.13959,
2A3,2.13959,
2C5,2.13959,
2E8,2.13959,
2GB,2.13959,
2ID,2.13959,
30G,2.13959,
32I,2.13959,
351,2.13959,
374,2.13959,
396,2.13959,
3B9,2.13959,
3DC,2.13959,
3FE,2.13959,
3HH,2.13959,
400,2.13959,
422,2.13959,
445,2.13959,
467,2.13959,
48A,2.13959,
4AD,2.13959,
4CF,2.13959,
4EI,2.13959,
9B1,2.13959,
9CG,2.13959,
9EE,2.13959,
9GH,2.13959,
9IJ,2.13959,
A12,2.13959,
A34,2.13959,
A57,2.13959,
A7A,2.13959,
A9C,2.13959,
ABF,2.13959,
ADI,2.13490,
AG0,2.13959,
AI3,2.13959,
B06,2.13959,
B28,2.13959,
B4B,2.13959,
B6D,2.13959,
B8G,2.13959,
BAJ,2.13959,
BD1,2.13959,
BF4,2.13959,
BH7,2.13959,
BJ9,2.13959,
C1C,2.13959,
GHF,2.13959,
GJA,2.13959,
H18,2.13959,
H3A,2.13959,
H5D,2.13959,
H7G,2.13959,
H9I,2.13959,
HC1,2.13959,
HE4,2.13959,
HG6,2.13959,
HI9,2.13959,
I0C,2.13959,
I2E,2.13959,
I4H,2.13959,
I6J,2.13959,
I92,2.13959,
IB5,2.13959,
ID7,2.13959,
IFA,2.13959,
IHD,2.13959,
IJF,2.13959,
J1I,2.13959,
J41,2.13959,
J63,2.13959,
J86,2.13959,
1449,2.13959,
1463,2.13959,
1483,2.13959,
14A6,2.13959,
14CA,2.13959,
14EE,2.13959,
14GH,2.13959,
14J1,2.13959,
1515,2.13959,
1538,2.13959,
155D,2.13959,
157H,2.13959,
15A0,2.13959,
15C4,2.13959,
15E8,2.13959,
15GB,2.13959,
15IF,2.13959,
160J,2.13959,
1632,2.13959,
1656,2.13959,
1679,2.13959,
169D,2.13959,
16BH,2.13959,
16E0,2.13959,
16G4,2.13959,
1BC8,2.13959,
1BE3,2.13959,
1BG3,2.13959,
1BI7,2.13959,
1C0A,2.13959,
1C2E,2.13959,
1C4I,2.13959,
1C71,2.13959,
1C95,2.13959,
1CB9,2.13959,
1CDC,2.13959,
1CFG,2.13959,
1CI0,2.13959,
1D03,2.13959,
1D27,2.13959,
1D4A,2.13959,
1D6E,2.13959,
1D8I,2.13959,
1DB1,2.13959,
1DD5,2.13959,
1DF9,2.13959,
1DHC,2.13959,
1DJG,2.13959,
1E20,2.14428,
1E43,2.13959,
1J07,2.13959,
1J22,2.13959,
1J42,2.13959,
1J66,2.13959,
1J8A,2.13959,
1JAD,2.13959,
1JCH,2.14428,
1JF1,2.13959,
1JH4,2.13959,
1JJ8,2.13959,
201B,2.14428,
203F,2.13959,
205J,2.13959,
2082,2.13959,
20A6,2.13959,
20CA,2.13959,
20ED,2.13959,
20GH,2.13959,
20J1,2.13959,
2114,2.13959,
2138,2.13959,
215D,2.13959,
217G,2.13959,
21A0,2.13959,
21C4,2.13959,
2688,2.13959,
26A1,2.13959,
26C1,2.13959,
26E5,2.13959,
26G9,2.13959,
26IC,2.13959,
270H,2.13959,
2731,2.13959,
2754,2.13959,
2778,2.13959,
279C,2.13959,
27BF,2.13959,
27DJ,2.13959,
27G3,2.13959,
27I6,2.13959,
280A,2.13959,
282E,2.13959,
284H,2.13959,
2871,2.13959,
2895,2.13959,
28B8,2.13959,
28DC,2.13959,
